instrument,industry
SZ300223,801080.SI
SZ300227,801890.SI
SZ300232,801080.SI
SZ300241,801080.SI
SZ300256,801080.SI
SZ300269,801760.SI
SZ300279,801110.SI
SZ300282,801760.SI
SZ300296,801080.SI
SZ300301,801080.SI
SZ300303,801080.SI
SZ300317,801730.SI
SZ300319,801080.SI
SZ300322,801770.SI
SZ300323,801080.SI
SZ300327,801080.SI
SZ300331,801080.SI
SZ300340,801730.SI
SZ300346,801080.SI
SZ300373,801080.SI
SZ300389,801080.SI
SZ300394,801770.SI
SZ300408,801080.SI
SZ300410,801890.SI
SZ300433,801080.SI
SZ300438,801730.SI
SZ300456,801740.SI
SZ300458,801080.SI
SZ300460,801080.SI
SZ300475,801110.SI
SZ300476,801080.SI
SZ300493,801080.SI
SZ300502,801770.SI
SZ300516,801080.SI
SZ300543,801110.SI
SZ300545,801080.SI
SZ300566,801080.SI
SZ300582,801080.SI
SZ300602,801080.SI
SZ300604,801890.SI
SZ300613,801080.SI
SZ300623,801080.SI
SZ300625,801110.SI
SZ300632,801080.SI
SZ300647,801080.SI
SZ300650,801080.SI
SZ300656,801080.SI
SZ300657,801080.SI
SZ300661,801080.SI
SZ300671,801080.SI
SZ300672,801080.SI
SZ300679,801080.SI
SZ300686,801080.SI
SZ300691,801750.SI
SZ300701,801080.SI
SZ300708,801080.SI
SZ300709,801080.SI
SZ300726,801740.SI
SZ300735,801080.SI
SZ300736,801080.SI
SZ300739,801080.SI
SZ300747,801890.SI
SZ300752,801080.SI
SZ300782,801080.SI
SZ300784,801080.SI
SZ300787,801080.SI
SZ300790,801750.SI
SZ300793,801080.SI
SZ300808,801080.SI
SZ300812,801890.SI
SZ300814,801080.SI
SZ300822,801080.SI
SZ300831,801160.SI
SZ300842,801730.SI
SZ300843,801080.SI
SZ300852,801080.SI
SZ300857,801080.SI
SZ300866,801080.SI
SZ300868,801080.SI
SZ300889,801080.SI
SZ300903,801080.SI
SZ300909,801080.SI
SZ300916,801080.SI
SZ300936,801080.SI
SZ300939,801080.SI
SZ300940,801080.SI
SZ300951,801080.SI
SZ300956,801080.SI
SZ300964,801080.SI
SZ300968,801080.SI
SZ300975,801080.SI
SZ300976,801080.SI
SZ300991,801080.SI
SZ301002,801730.SI
SZ301021,801890.SI
SZ301031,801880.SI
SZ301041,801080.SI
SZ301045,801080.SI
SZ301051,801080.SI
SZ301067,801080.SI
SZ301086,801080.SI
SZ301099,801080.SI
SZ301106,801080.SI
SZ301123,801080.SI
SZ301132,801080.SI
SZ301135,801110.SI
SZ301176,801080.SI
SZ301180,801080.SI
SZ301182,801750.SI
SZ301183,801080.SI
SZ301189,801080.SI
SZ301251,801080.SI
SZ301275,801080.SI
SZ301280,801110.SI
SZ301282,801080.SI
SZ301285,801080.SI
SZ301297,801080.SI
SZ301308,801080.SI
SZ301319,801080.SI
SZ301321,801080.SI
SZ301326,801080.SI
SZ301328,801080.SI
SZ301329,801080.SI
SZ301348,801080.SI
SZ301359,801080.SI
SZ301366,801080.SI
SZ301369,801080.SI
SZ301379,801080.SI
SZ301383,801080.SI
SZ301387,801080.SI
SZ301389,801080.SI
SZ301421,801080.SI
SZ301458,801080.SI
SZ301479,801080.SI
SZ301486,801080.SI
SZ301489,801080.SI
SZ301536,801080.SI
SZ301566,801080.SI
SZ301567,801080.SI
SZ301606,801080.SI
SZ301611,801080.SI
SZ301626,801080.SI
SZ301628,801080.SI
SZ301629,801080.SI
SZ301678,801080.SI
SH600071,801080.SI
SH600083,801230.SI
SH600130,801770.SI
SH600152,801730.SI
SH600171,801080.SI
SH600183,801080.SI
SH600198,801770.SI
SH600203,801770.SI
SH600207,801730.SI
SH600237,801080.SI
SH600261,801110.SI
SH600288,801750.SI
SH600353,801730.SI
SH600360,801080.SI
SH600363,801080.SI
SH600379,801730.SI
SH600460,801080.SI
SH600552,801710.SI
SH600563,801080.SI
SH600584,801080.SI
SH600601,801750.SI
SH600602,801750.SI
SH600621,801790.SI
SH600651,801880.SI
SH600654,801750.SI
SH600666,801150.SI
SH600707,801080.SI
SH600745,801770.SI
SH600747,801230.SI
SH600751,801170.SI
SH600800,801960.SI
SH600817,801970.SI
SH600877,801730.SI
SH600884,801730.SI
SH600898,801230.SI
SH601138,801080.SI
SH601231,801080.SI
SH603005,801080.SI
SH603052,801080.SI
SH603061,801080.SI
SH603068,801080.SI
SH603160,801080.SI
SH603186,801080.SI
SH603228,801080.SI
SH603267,801740.SI
SH603290,801080.SI
SH603296,801080.SI
SH603297,801080.SI
SH603303,801110.SI
SH603327,801080.SI
SH603328,801080.SI
SH603341,801080.SI
SH603375,801080.SI
SH603380,801080.SI
SH603386,801080.SI
SH603501,801080.SI
SH603515,801110.SI
SH603595,801080.SI
SH603626,801890.SI
SH603629,801080.SI
SH603633,801080.SI
SH603659,801730.SI
SH603678,801740.SI
SH603679,801080.SI
SH603685,801080.SI
SH603690,801890.SI
SH603703,801770.SI
SH603738,801080.SI
SH603773,801080.SI
SH603890,801080.SI
SH603893,801080.SI
SH603920,801080.SI
SH603931,801080.SI
SH603933,801080.SI
SH603936,801080.SI
SH603986,801080.SI
SH603989,801080.SI
SH603996,801110.SI
SH605058,801080.SI
SH605111,801080.SI
SH605118,801750.SI
SH605218,801080.SI
SH605258,801080.SI
SH605277,801730.SI
SH605358,801080.SI
SH605365,801110.SI
SH605588,801080.SI
SH688007,801080.SI
SH688008,801080.SI
SH688010,801080.SI
SH688012,801080.SI
SH688018,801080.SI
SH688019,801080.SI
SH688020,801080.SI
SH688035,801080.SI
SH688036,801080.SI
SH688037,801080.SI
SH688041,801080.SI
SH688045,801080.SI
SH688047,801080.SI
SH688048,801080.SI
SH688049,801080.SI
SH688052,801080.SI
SH688055,801080.SI
SH688061,801080.SI
SH688072,801080.SI
SH688079,801080.SI
SH688082,801080.SI
SH688093,801080.SI
SH688099,801080.SI
SH688103,801080.SI
SH688106,801080.SI
SH688107,801080.SI
SH688110,801080.SI
SH688120,801080.SI
SH688123,801080.SI
SH688126,801080.SI
SH688127,801080.SI
SH688130,801080.SI
SH688135,801080.SI
SH688138,801080.SI
SH688141,801080.SI
SH688146,801080.SI
SH688150,801080.SI
SH688153,801080.SI
SH688167,801080.SI
SH688172,801080.SI
SH688173,801080.SI
SH688181,801080.SI
SH688183,801080.SI
SH688195,801080.SI
SH688200,801080.SI
SH688209,801080.SI
SH688210,801080.SI
SH688213,801080.SI
SH688216,801080.SI
SH688220,801080.SI
SH688230,801080.SI
SH688233,801080.SI
SH688234,801080.SI
SH688249,801080.SI
SH688252,801080.SI
SH688256,801080.SI
SH688259,801080.SI
SH688260,801080.SI
SH688261,801080.SI
SH688262,801080.SI
SH688268,801080.SI
SH688270,801080.SI
SH688279,801080.SI
SH688286,801080.SI
SH688299,801080.SI
SH688322,801080.SI
SH688325,801080.SI
SH688332,801080.SI
SH688347,801080.SI
SH688352,801080.SI
SH688359,801080.SI
SH688361,801080.SI
SH688362,801080.SI
SH688368,801080.SI
SH688371,801080.SI
SH688372,801080.SI
SH688378,801890.SI
SH688380,801080.SI
SH688381,801080.SI
SH688385,801080.SI
SH688391,801080.SI
SH688396,801080.SI
SH688401,801080.SI
SH688403,801080.SI
SH688409,801080.SI
SH688416,801080.SI
SH688419,801080.SI
SH688432,801080.SI
SH688449,801080.SI
SH688458,801080.SI
SH688469,801080.SI
SH688478,801080.SI
SH688484,801080.SI
SH688486,801080.SI
SH688496,801080.SI
SH688498,801080.SI
SH688502,801080.SI
SH688508,801080.SI
SH688512,801080.SI
SH688515,801080.SI
SH688519,801080.SI
SH688521,801080.SI
SH688525,801080.SI
SH688530,801080.SI
SH688535,801080.SI
SH688536,801080.SI
SH688538,801080.SI
SH688539,801080.SI
SH688545,801080.SI
SH688548,801080.SI
SH688549,801080.SI
SH688550,801080.SI
SH688582,801080.SI
SH688584,801080.SI
SH688589,801080.SI
SH688591,801080.SI
SH688593,801080.SI
SH688595,801080.SI
SH688601,801080.SI
SH688603,801080.SI
SH688605,801080.SI
SH688608,801080.SI
SH688620,801080.SI
SH688652,801080.SI
SH688653,801080.SI
SH688655,801080.SI
SH688661,801080.SI
SH688662,801080.SI
SH688678,801080.SI
SH688683,801080.SI
SH688689,801080.SI
SH688691,801080.SI
SH688693,801080.SI
SH688699,801080.SI
SH688702,801080.SI
SH688709,801080.SI
SH688711,801080.SI
SH688720,801080.SI
SH688721,801080.SI
SH688728,801080.SI
SH688766,801080.SI
SH688775,801080.SI
SH688798,801080.SI
SH688800,801080.SI
SH688981,801080.SI
SZ000017,801130.SI
SZ000025,801230.SI
SZ000030,801230.SI
SZ000338,801880.SI
SZ000550,801880.SI
SZ000559,801880.SI
SZ000570,801890.SI
SZ000572,801180.SI
SZ000581,801880.SI
SZ000622,801230.SI
SZ000625,801880.SI
SZ000678,801880.SI
SZ000700,801880.SI
SZ000710,801230.SI
SZ000753,801230.SI
SZ000757,801880.SI
SZ000760,801180.SI
SZ000800,801880.SI
SZ000816,801890.SI
SZ000868,801880.SI
SZ000880,801890.SI
SZ000887,801880.SI
SZ000901,801740.SI
SZ000903,801880.SI
SZ000913,801880.SI
SZ000927,801890.SI
SZ000951,801110.SI
SZ000957,801880.SI
SZ000980,801880.SI
SZ000981,801180.SI
SZ000996,801790.SI
SZ001260,801880.SI
SZ001278,801880.SI
SZ001282,801880.SI
SZ001311,801880.SI
SZ001319,801890.SI
SZ001380,801880.SI
SZ001696,801890.SI
SZ002048,801880.SI
SZ002085,801880.SI
SZ002101,801880.SI
SZ002105,801880.SI
SZ002126,801880.SI
SZ002190,801740.SI
SZ002239,801130.SI
SZ002265,801880.SI
SZ002283,801880.SI
SZ002284,801880.SI
SZ002328,801880.SI
SZ002355,801880.SI
SZ002363,801880.SI
SZ002406,801880.SI
SZ002434,801880.SI
SZ002448,801880.SI
SZ002454,801880.SI
SZ002472,801880.SI
SZ002488,801880.SI
SZ002510,801890.SI
SZ002516,801130.SI
SZ002536,801880.SI
SZ002537,801750.SI
SZ002553,801880.SI
SZ002555,801760.SI
SZ002590,801880.SI
SZ002592,801880.SI
SZ002593,801720.SI
SZ002594,801880.SI
SZ002602,801760.SI
SZ002607,801760.SI
SZ002611,801890.SI
SZ002625,801740.SI
SZ002662,801880.SI
SZ002664,801740.SI
SZ002682,801170.SI
SZ002703,801880.SI
SZ002708,801880.SI
SZ002715,801880.SI
SZ002725,801880.SI
SZ002758,801230.SI
SZ002766,801750.SI
SZ002813,801770.SI
SZ002863,801880.SI
SZ002865,801730.SI
SZ002870,801890.SI
SZ002906,801880.SI
SZ002921,801880.SI
SZ002931,801890.SI
SZ002965,801890.SI
SZ002997,801880.SI
SZ003033,801880.SI
SZ300100,801880.SI
SZ300176,801790.SI
SZ300237,801720.SI
SZ300258,801880.SI
SZ300304,801880.SI
SZ300375,801880.SI
SZ300391,801890.SI
SZ300432,801730.SI
SZ300473,801880.SI
SZ300507,801880.SI
SZ300547,801710.SI
SZ300580,801880.SI
SZ300585,801880.SI
SZ300611,801880.SI
SZ300643,801880.SI
SZ300652,801880.SI
SZ300680,801880.SI
SZ300681,801730.SI
SZ300694,801880.SI
SZ300695,801880.SI
SZ300707,801880.SI
SZ300733,801880.SI
SZ300742,801880.SI
SZ300745,801730.SI
SZ300816,801880.SI
SZ300825,801880.SI
SZ300863,801880.SI
SZ300893,801880.SI
SZ300912,801880.SI
SZ300926,801880.SI
SZ300928,801880.SI
SZ300969,801880.SI
SZ300978,801880.SI
SZ300994,801880.SI
SZ300998,801880.SI
SZ301000,801880.SI
SZ301005,801880.SI
SZ301007,801880.SI
SZ301020,801880.SI
SZ301022,801880.SI
SZ301039,801880.SI
SZ301072,801880.SI
SZ301119,801880.SI
SZ301133,801880.SI
SZ301170,801880.SI
SZ301173,801880.SI
SZ301181,801880.SI
SZ301186,801880.SI
SZ301192,801880.SI
SZ301215,801880.SI
SZ301221,801880.SI
SZ301225,801880.SI
SZ301229,801880.SI
SZ301233,801880.SI
SZ301298,801880.SI
SZ301310,801880.SI
SZ301322,801880.SI
SZ301345,801880.SI
SZ301397,801880.SI
SZ301398,801880.SI
SZ301488,801880.SI
SZ301499,801880.SI
SZ301529,801880.SI
SZ301535,801880.SI
SZ301539,801880.SI
SZ301550,801880.SI
SZ301552,801880.SI
SZ301560,801880.SI
SZ301581,801880.SI
SZ301607,801880.SI
SZ301613,801880.SI
SZ301631,801880.SI
SH600006,801880.SI
SH600066,801880.SI
SH600081,801880.SI
SH600099,801880.SI
SH600104,801880.SI
SH600148,801880.SI
SH600166,801880.SI
SH600178,801880.SI
SH600213,801880.SI
SH600218,801890.SI
SH600297,801150.SI
SH600303,801880.SI
SH600327,801200.SI
SH600335,801880.SI
SH600375,801890.SI
SH600386,801760.SI
SH600418,801880.SI
SH600480,801880.SI
SH600482,801740.SI
SH600523,801880.SI
SH600609,801880.SI
SH600626,801200.SI
SH600653,801880.SI
SH600660,801880.SI
SH600676,801230.SI
SH600679,801180.SI
SH600686,801880.SI
SH600698,801880.SI
SH600715,801760.SI
SH600733,801230.SI
SH600741,801170.SI
SH600742,801880.SI
SH600805,801230.SI
SH600818,801230.SI
SH600822,801200.SI
SH600841,801890.SI
SH600933,801880.SI
SH600960,801890.SI
SH601127,801880.SI
SH601238,801880.SI
SH601258,801880.SI
SH601279,801880.SI
SH601311,801730.SI
SH601633,801880.SI
SH601689,801880.SI
SH601717,801890.SI
SH601777,801880.SI
SH601799,801880.SI
SH601965,801880.SI
SH603006,801880.SI
SH603009,801880.SI
SH603013,801880.SI
SH603023,801880.SI
SH603035,801880.SI
SH603037,801880.SI
SH603040,801880.SI
SH603048,801880.SI
SH603049,801880.SI
SH603085,801880.SI
SH603089,801880.SI
SH603107,801880.SI
SH603109,801880.SI
SH603119,801880.SI
SH603121,801880.SI
SH603129,801880.SI
SH603158,801880.SI
SH603161,801880.SI
SH603166,801880.SI
SH603178,801880.SI
SH603179,801880.SI
SH603190,801880.SI
SH603197,801880.SI
SH603201,801890.SI
SH603202,801880.SI
SH603210,801880.SI
SH603211,801880.SI
SH603239,801880.SI
SH603286,801880.SI
SH603305,801880.SI
SH603306,801880.SI
SH603319,801880.SI
SH603335,801880.SI
SH603348,801880.SI
SH603358,801880.SI
SH603377,801210.SI
SH603390,801880.SI
SH603409,801880.SI
SH603528,801750.SI
SH603529,801880.SI
SH603586,801880.SI
SH603596,801880.SI
SH603655,801880.SI
SH603701,801880.SI
SH603730,801880.SI
SH603758,801880.SI
SH603766,801880.SI
SH603767,801880.SI
SH603768,801880.SI
SH603776,801880.SI
SH603786,801880.SI
SH603787,801140.SI
SH603788,801880.SI
SH603809,801880.SI
SH603917,801880.SI
SH603922,801880.SI
SH603926,801880.SI
SH603950,801880.SI
SH603982,801880.SI
SH603997,801880.SI
SH605005,801880.SI
SH605018,801880.SI
SH605068,801880.SI
SH605088,801880.SI
SH605128,801880.SI
SH605133,801880.SI
SH605151,801170.SI
SH605228,801880.SI
SH605255,801880.SI
SH605319,801880.SI
SH605333,801880.SI
SH688021,801880.SI
SH688280,801880.SI
SH688533,801880.SI
SH688612,801880.SI
SH688667,801880.SI
SH688737,801880.SI
SZ000016,801110.SI
SZ000333,801110.SI
SZ000404,801110.SI
SZ000418,801110.SI
SZ000521,801110.SI
SZ000527,801110.SI
SZ000533,801730.SI
SZ000552,801950.SI
SZ000561,801770.SI
SZ000651,801110.SI
SZ000801,801740.SI
SZ000810,801130.SI
SZ000909,801180.SI
SZ000921,801110.SI
SZ001259,801110.SI
SZ001268,801110.SI
SZ001326,801110.SI
SZ001387,801110.SI
SZ002011,801110.SI
SZ002032,801140.SI
SZ002035,801110.SI
SZ002050,801110.SI
SZ002052,801110.SI
SZ002242,801110.SI
SZ002260,801110.SI
SZ002290,801110.SI
SZ002366,801890.SI
SZ002403,801110.SI
SZ002413,801740.SI
SZ002418,801110.SI
SZ002420,801110.SI
SZ002429,801110.SI
SZ002473,801110.SI
SZ002508,801110.SI
SZ002519,801740.SI
SZ002543,801110.SI
SZ002614,801890.SI
SZ002616,801160.SI
SZ002668,801110.SI
SZ002670,801790.SI
SZ002676,801110.SI
SZ002677,801110.SI
SZ002705,801110.SI
SZ002723,801110.SI
SZ002759,801730.SI
SZ002848,801110.SI
SZ002860,801110.SI
SZ002959,801110.SI
SZ003023,801110.SI
SZ300160,801110.SI
SZ300217,801110.SI
SZ300247,801110.SI
SZ300249,801750.SI
SZ300272,801110.SI
SZ300342,801110.SI
SZ300403,801110.SI
SZ300824,801110.SI
SZ300894,801110.SI
SZ300911,801110.SI
SZ301008,801110.SI
SZ301187,801110.SI
SZ301252,801110.SI
SZ301332,801110.SI
SZ301362,801110.SI
SZ301578,801110.SI
SH600060,801110.SI
SH600122,801200.SI
SH600234,801720.SI
SH600336,801110.SI
SH600619,801110.SI
SH600637,801760.SI
SH600690,801110.SI
SH600724,801710.SI
SH600753,801710.SI
SH600839,801110.SI
SH600854,801180.SI
SH600870,801200.SI
SH600983,801110.SI
SH601956,801110.SI
SH603075,801110.SI
SH603112,801110.SI
SH603215,801110.SI
SH603219,801110.SI
SH603311,801890.SI
SH603355,801110.SI
SH603366,801110.SI
SH603486,801890.SI
SH603519,801110.SI
SH603551,801890.SI
SH603578,801110.SI
SH603579,801890.SI
SH603657,801110.SI
SH603677,801110.SI
SH603726,801110.SI
SH603868,801110.SI
SH605117,801730.SI
SH605336,801110.SI
SH605555,801110.SI
SH688169,801110.SI
SH688609,801110.SI
SH688696,801110.SI
SH688793,801110.SI
SZ000529,801760.SI
SZ000567,801790.SI
SZ000568,801120.SI
SZ000596,801120.SI
SZ000716,801230.SI
SZ000729,801120.SI
SZ000752,801120.SI
SZ000796,801210.SI
SZ000799,801120.SI
SZ000833,801230.SI
SZ000848,801120.SI
SZ000858,801120.SI
SZ000869,801120.SI
SZ000885,801970.SI
SZ000895,801120.SI
SZ000929,801120.SI
SZ000995,801120.SI
SZ001215,801120.SI
SZ001219,801120.SI
SZ001318,801120.SI
SZ002216,801120.SI
SZ002304,801120.SI
SZ002329,801120.SI
SZ002330,801120.SI
SZ002461,801120.SI
SZ002495,801120.SI
SZ002507,801120.SI
SZ002515,801120.SI
SZ002557,801120.SI
SZ002568,801120.SI
SZ002570,801120.SI
SZ002582,801120.SI
SZ002626,801150.SI
SZ002646,801120.SI
SZ002650,801120.SI
SZ002695,801120.SI
SZ002702,801120.SI
SZ002719,801120.SI
SZ002726,801120.SI
SZ002732,801120.SI
SZ002770,801120.SI
SZ002820,801120.SI
SZ002840,801120.SI
SZ002847,801120.SI
SZ002910,801120.SI
SZ002946,801120.SI
SZ002956,801120.SI
SZ002991,801120.SI
SZ003000,801120.SI
SZ300146,801150.SI
SZ300783,801120.SI
SZ300791,801120.SI
SZ300892,801200.SI
SZ300898,801120.SI
SZ300908,801120.SI
SZ300915,801120.SI
SZ300973,801120.SI
SZ300997,801120.SI
SH600059,801120.SI
SH600073,801120.SI
SH600084,801200.SI
SH600090,801150.SI
SH600132,801120.SI
SH600136,801760.SI
SH600159,801180.SI
SH600186,801120.SI
SH600197,801120.SI
SH600199,801120.SI
SH600238,801120.SI
SH600239,801180.SI
SH600300,801120.SI
SH600305,801120.SI
SH600365,801200.SI
SH600381,801760.SI
SH600419,801230.SI
SH600429,801120.SI
SH600519,801120.SI
SH600530,801150.SI
SH600573,801120.SI
SH600597,801120.SI
SH600600,801120.SI
SH600616,801200.SI
SH600696,801230.SI
SH600702,801120.SI
SH600735,801200.SI
SH600779,801120.SI
SH600783,801890.SI
SH600809,801120.SI
SH600872,801180.SI
SH600887,801120.SI
SH601579,801120.SI
SH603027,801120.SI
SH603031,801730.SI
SH603043,801120.SI
SH603057,801120.SI
SH603102,801120.SI
SH603156,801120.SI
SH603170,801120.SI
SH603198,801120.SI
SH603237,801120.SI
SH603288,801120.SI
SH603317,801120.SI
SH603345,801120.SI
SH603369,801120.SI
SH603517,801120.SI
SH603536,801120.SI
SH603589,801120.SI
SH603696,801120.SI
SH603697,801120.SI
SH603711,801120.SI
SH603719,801120.SI
SH603755,801120.SI
SH603777,801120.SI
SH603779,801120.SI
SH603866,801120.SI
SH603886,801120.SI
SH603919,801120.SI
SH605089,801120.SI
SH605179,801120.SI
SH605300,801120.SI
SH605337,801120.SI
SH605338,801120.SI
SH605339,801120.SI
SH605388,801120.SI
SH605499,801120.SI
SH605567,801120.SI
SZ000018,801720.SI
SZ000026,801140.SI
SZ000158,801750.SI
SZ000518,801150.SI
SZ000587,801140.SI
SZ000611,801950.SI
SZ000681,801760.SI
SZ000712,801790.SI
SZ000726,801130.SI
SZ000779,801720.SI
SZ000803,801730.SI
SZ000809,801180.SI
SZ000850,801130.SI
SZ000955,801130.SI
SZ000971,801770.SI
SZ000982,801730.SI
SZ001209,801130.SI
SZ001234,801130.SI
SZ001323,801140.SI
SZ001390,801130.SI
SZ002003,801130.SI
SZ002029,801130.SI
SZ002034,801970.SI
SZ002042,801130.SI
SZ002044,801150.SI
SZ002072,801750.SI
SZ002083,801130.SI
SZ002087,801130.SI
SZ002098,801130.SI
SZ002144,801130.SI
SZ002154,801130.SI
SZ002193,801130.SI
SZ002269,801130.SI
SZ002291,801760.SI
SZ002293,801130.SI
SZ002327,801130.SI
SZ002345,801140.SI
SZ002394,801130.SI
SZ002397,801130.SI
SZ002404,801130.SI
SZ002425,801760.SI
SZ002485,801130.SI
SZ002486,801130.SI
SZ002494,801130.SI
SZ002503,801130.SI
SZ002517,801760.SI
SZ002563,801130.SI
SZ002569,801130.SI
SZ002574,801140.SI
SZ002612,801130.SI
SZ002634,801130.SI
SZ002640,801760.SI
SZ002656,801130.SI
SZ002674,801130.SI
SZ002687,801130.SI
SZ002699,801760.SI
SZ002721,801140.SI
SZ002722,801890.SI
SZ002731,801140.SI
SZ002740,801140.SI
SZ002761,801720.SI
SZ002762,801130.SI
SZ002763,801130.SI
SZ002776,801130.SI
SZ002780,801130.SI
SZ002832,801130.SI
SZ002867,801140.SI
SZ002875,801130.SI
SZ003016,801130.SI
SZ003041,801130.SI
SZ300005,801130.SI
SZ300526,801130.SI
SZ300577,801130.SI
SZ300591,801130.SI
SZ300658,801980.SI
SZ300819,801130.SI
SZ300840,801130.SI
SZ300877,801130.SI
SZ300888,801980.SI
SZ300901,801130.SI
SZ300918,801130.SI
SZ300945,801140.SI
SZ300952,801130.SI
SZ300979,801130.SI
SZ301066,801130.SI
SZ301088,801130.SI
SZ301177,801130.SI
SZ301276,801130.SI
SH600070,801230.SI
SH600086,801140.SI
SH600107,801130.SI
SH600137,801210.SI
SH600156,801130.SI
SH600177,801180.SI
SH600220,801130.SI
SH600232,801890.SI
SH600233,801170.SI
SH600240,801180.SI
SH600272,801150.SI
SH600398,801130.SI
SH600400,801130.SI
SH600439,801140.SI
SH600448,801130.SI
SH600483,801160.SI
SH600493,801130.SI
SH600510,801180.SI
SH600555,801210.SI
SH600612,801140.SI
SH600630,801130.SI
SH600689,801230.SI
SH600757,801760.SI
SH600781,801150.SI
SH600824,801200.SI
SH600851,801230.SI
SH600916,801140.SI
SH600987,801130.SI
SH601339,801130.SI
SH601566,801130.SI
SH601599,801760.SI
SH601718,801130.SI
SH603001,801130.SI
SH603116,801130.SI
SH603130,801130.SI
SH603157,801130.SI
SH603196,801130.SI
SH603238,801980.SI
SH603307,801130.SI
SH603365,801130.SI
SH603511,801130.SI
SH603518,801130.SI
SH603555,801130.SI
SH603557,801130.SI
SH603558,801130.SI
SH603587,801130.SI
SH603608,801130.SI
SH603665,801130.SI
SH603808,801130.SI
SH603839,801130.SI
SH603877,801130.SI
SH603889,801130.SI
SH603900,801200.SI
SH603908,801130.SI
SH603958,801130.SI
SH605003,801130.SI
SH605055,801130.SI
SH605080,801140.SI
SH605138,801130.SI
SH605180,801130.SI
SH605189,801130.SI
SH605599,801140.SI
SZ000488,801140.SI
SZ000526,801760.SI
SZ000659,801140.SI
SZ000699,801140.SI
SZ000718,801180.SI
SZ000769,801140.SI
SZ000812,801140.SI
SZ000815,801750.SI
SZ000820,801970.SI
SZ000910,801140.SI
SZ001206,801980.SI
SZ001211,801140.SI
SZ001216,801140.SI
SZ001222,801140.SI
SZ001238,801140.SI
SZ001279,801140.SI
SZ001300,801140.SI
SZ001322,801140.SI
SZ001356,801140.SI
SZ001368,801140.SI
SZ002012,801140.SI
SZ002014,801140.SI
SZ002043,801710.SI
SZ002047,801720.SI
SZ002067,801140.SI
SZ002071,801760.SI
SZ002078,801140.SI
SZ002084,801140.SI
SZ002102,801200.SI
SZ002103,801760.SI
SZ002117,801140.SI
SZ002120,801170.SI
SZ002162,801710.SI
SZ002174,801760.SI
SZ002191,801140.SI
SZ002228,801140.SI
SZ002229,801140.SI
SZ002235,801140.SI
SZ002247,801760.SI
SZ002259,801160.SI
SZ002292,801760.SI
SZ002301,801140.SI
SZ002303,801140.SI
SZ002348,801140.SI
SZ002354,801760.SI
SZ002356,801730.SI
SZ002374,801720.SI
SZ002489,801140.SI
SZ002511,801980.SI
SZ002521,801140.SI
SZ002565,801140.SI
SZ002571,801140.SI
SZ002572,801140.SI
SZ002575,801140.SI
SZ002599,801140.SI
SZ002605,801760.SI
SZ002615,801140.SI
SZ002631,801140.SI
SZ002678,801140.SI
SZ002701,801140.SI
SZ002735,801140.SI
SZ002751,801210.SI
SZ002752,801140.SI
SZ002787,801140.SI
SZ002790,801140.SI
SZ002798,801710.SI
SZ002799,801140.SI
SZ002803,801200.SI
SZ002831,801140.SI
SZ002836,801140.SI
SZ002846,801140.SI
SZ002853,801140.SI
SZ002862,801140.SI
SZ002899,801140.SI
SZ002918,801710.SI
SZ002951,801140.SI
SZ002969,801140.SI
SZ003003,801140.SI
SZ003006,801980.SI
SZ003011,801140.SI
SZ003012,801710.SI
SZ003018,801140.SI
SZ300043,801760.SI
SZ300061,801760.SI
SZ300089,801760.SI
SZ300329,801140.SI
SZ300501,801140.SI
SZ300616,801140.SI
SZ300640,801140.SI
SZ300651,801210.SI
SZ300703,801140.SI
SZ300729,801140.SI
SZ300749,801140.SI
SZ300756,801890.SI
SZ300849,801980.SI
SZ300883,801140.SI
SZ300955,801980.SI
SZ300993,801140.SI
SZ301004,801140.SI
SZ301009,801980.SI
SZ301011,801890.SI
SZ301055,801140.SI
SZ301061,801140.SI
SZ301062,801140.SI
SZ301101,801140.SI
SZ301108,801980.SI
SZ301113,801140.SI
SZ301188,801150.SI
SZ301193,801140.SI
SZ301198,801140.SI
SZ301223,801140.SI
SZ301227,801140.SI
SZ301287,801140.SI
SZ301296,801140.SI
SZ301335,801140.SI
SZ301336,801140.SI
SZ301355,801140.SI
SZ301356,801140.SI
SZ301376,801140.SI
SZ301469,801140.SI
SZ301501,801140.SI
SZ301588,801140.SI
SZ301595,801140.SI
SH600053,801230.SI
SH600069,801140.SI
SH600076,801770.SI
SH600103,801140.SI
SH600163,801160.SI
SH600187,801970.SI
SH600208,801180.SI
SH600210,801140.SI
SH600235,801140.SI
SH600308,801140.SI
SH600337,801140.SI
SH600356,801140.SI
SH600401,801730.SI
SH600433,801140.SI
SH600462,801770.SI
SH600539,801710.SI
SH600567,801140.SI
SH600599,801790.SI
SH600681,801720.SI
SH600788,801140.SI
SH600793,801140.SI
SH600836,801140.SI
SH600891,801200.SI
SH600963,801140.SI
SH600966,801140.SI
SH600978,801140.SI
SH601515,801140.SI
SH601968,801140.SI
SH601996,801140.SI
SH603008,801140.SI
SH603021,801140.SI
SH603022,801140.SI
SH603058,801140.SI
SH603059,801980.SI
SH603091,801140.SI
SH603165,801140.SI
SH603180,801140.SI
SH603195,801140.SI
SH603208,801140.SI
SH603216,801140.SI
SH603221,801140.SI
SH603226,801140.SI
SH603268,801140.SI
SH603272,801140.SI
SH603313,801140.SI
SH603326,801140.SI
SH603385,801140.SI
