instrument,industry
SZ002094,801980.SI
SZ002096,801030.SI
SZ002108,801030.SI
SZ002109,801030.SI
SZ002113,801760.SI
SZ002125,801730.SI
SZ002127,801200.SI
SZ002130,801080.SI
SZ002136,801050.SI
SZ002145,801030.SI
SZ002165,801030.SI
SZ002166,801150.SI
SZ002167,801050.SI
SZ002170,801030.SI
SZ002172,801150.SI
SZ002192,801890.SI
SZ002201,801710.SI
SZ002206,801030.SI
SZ002211,801030.SI
SZ002217,801080.SI
SZ002221,801960.SI
SZ002224,801030.SI
SZ002226,801030.SI
SZ002243,801980.SI
SZ002246,801030.SI
SZ002250,801030.SI
SZ002254,801030.SI
SZ002256,801160.SI
SZ002258,801030.SI
SZ002263,801140.SI
SZ002274,801030.SI
SZ002312,801750.SI
SZ002319,801030.SI
SZ002324,801030.SI
SZ002326,801030.SI
SZ002341,801160.SI
SZ002343,801760.SI
SZ002360,801030.SI
SZ002361,801030.SI
SZ002377,801960.SI
SZ002381,801030.SI
SZ002382,801150.SI
SZ002386,801030.SI
SZ002391,801030.SI
SZ002395,801030.SI
SZ002407,801030.SI
SZ002408,801960.SI
SZ002409,801080.SI
SZ002411,801150.SI
SZ002427,801030.SI
SZ002430,801890.SI
SZ002440,801030.SI
SZ002442,801030.SI
SZ002450,801030.SI
SZ002453,801030.SI
SZ002455,801030.SI
SZ002464,801760.SI
SZ002470,801030.SI
SZ002476,801960.SI
SZ002493,801960.SI
SZ002496,801030.SI
SZ002497,801050.SI
SZ002513,801030.SI
SZ002522,801140.SI
SZ002538,801030.SI
SZ002539,801030.SI
SZ002545,801730.SI
SZ002549,801230.SI
SZ002562,801030.SI
SZ002581,801150.SI
SZ002584,801080.SI
SZ002585,801140.SI
SZ002588,801030.SI
SZ002591,801760.SI
SZ002597,801120.SI
SZ002601,801030.SI
SZ002632,801030.SI
SZ002637,801030.SI
SZ002643,801080.SI
SZ002648,801960.SI
SZ002666,801030.SI
SZ002669,801030.SI
SZ002683,801030.SI
SZ002709,801730.SI
SZ002734,801030.SI
SZ002741,801080.SI
SZ002748,801030.SI
SZ002749,801030.SI
SZ002753,801030.SI
SZ002768,801030.SI
SZ002778,801970.SI
SZ002783,801030.SI
SZ002802,801030.SI
SZ002805,801730.SI
SZ002809,801030.SI
SZ002810,801030.SI
SZ002812,801730.SI
SZ002825,801140.SI
SZ002827,801030.SI
SZ002838,801030.SI
SZ002886,801030.SI
SZ002895,801030.SI
SZ002909,801030.SI
SZ002915,801030.SI
SZ002917,801030.SI
SZ002919,801980.SI
SZ002942,801030.SI
SZ002971,801030.SI
